,precision,recall,f1-score,support
phonationA,0.6534954407294833,0.7904411764705882,0.7154742096505824,272.0
phonationE,0.8883928571428571,0.7316176470588235,0.8024193548387096,272.0
phonationI,0.7877813504823151,0.9007352941176471,0.8404802744425386,272.0
phonationO,0.7152542372881356,0.7757352941176471,0.7442680776014109,272.0
phonationU,0.8587360594795539,0.8492647058823529,0.8539741219963032,272.0
rhythmKA,0.6164383561643836,0.33088235294117646,0.430622009569378,272.0
rhythmPA,0.49770642201834864,0.7977941176470589,0.6129943502824858,272.0
rhythmTA,0.4036144578313253,0.24632352941176472,0.3059360730593607,272.0
accuracy,0.6778492647058824,0.6778492647058824,0.6778492647058824,0.6778492647058824
macro avg,0.6776773976420503,0.6778492647058824,0.6632710589300961,2176.0
weighted avg,0.6776773976420503,0.6778492647058824,0.6632710589300962,2176.0
